-22.500000,63.850000,895.9,-1
-20.300000,63.510000,803.8,-1
-19.490000,63.530000,841.3,-1
-18.040000,63.418000,833.5,-1
-19.700000,64.200000,910.5,-1
-18.100000,65.650000,901.5,-1
-17.000000,65.600000,933.8,-1
-16.500000,65.800000,813.0,-1
-15.600000,65.680000,863.3,-1
-14.390000,65.812000,804.5,-1
-13.550000,65.080000,832.8,-1
-14.000000,64.930000,875.8,-1
-14.740000,64.750000,804.0,-1
-15.200000,64.530000,829.8,-1
-14.900000,65.500000,897.5,-1
-23.783000,64.800000,881.7,-1
-22.730000,64.920000,833.1,-1
-22.200000,65.520000,888.4,-1
-23.800000,65.650000,921.4,-1
-24.500000,65.550000,801.0,-1
-21.930000,66.070000,920.9,-1
